Well,Cq
A01,35.24348866
A02,36.6412415
A03,36.13248621
A04,34.87304757
A05,34.88634575
A06,35.39607017
A07,36.2692332
A08,36.58154547
A09,36.24221006
A10,34.59961816
A11,35.20109766
A12,35.28703141
A13,37.34076401
A14,36.39647969
A15,35.47529706
A16,34.59954064
A17,35.37489159
A18,35.80895382
A19,37.09533773
A20,NaN
A21,38.36564242
A22,38.30138628
A23,36.17408449
A24,36.50712518
B01,35.2639612
B02,36.21692006
B03,34.78160178
B04,33.70877282
B05,33.68917453
B06,32.8796504
B07,33.66825742
B08,33.39858646
B09,34.53264535
B10,34.26950722
B11,33.29929218
B12,33.65766309
B13,33.7792563
B14,34.79740381
B15,34.16132795
B16,36.27823016
B17,33.28967338
B18,33.86012137
B19,34.41918163
B20,NaN
B21,34.73639789
B22,34.35731425
B23,34.76321425
B24,34.63024082
C01,NaN
C02,NaN
C03,38.32808944
C04,NaN
C05,NaN
C06,37.35625624
C07,NaN
C08,36.51012934
C09,34.50773621
C10,32.48992887
C11,39.20782638
C12,38.44885033
C13,NaN
C14,35.73275997
C15,34.16089657
C16,37.34922876
C17,39.77178877
C18,37.70222901
C19,34.99770678
C20,NaN
C21,NaN
C22,NaN
C23,39.6390614
C24,36.42439066
D01,26.90025265
D02,26.65436258
D03,26.7413222
D04,27.15686652
D05,27.27161823
D06,26.21816828
D07,27.08238413
D08,27.53949968
D09,28.07515432
D10,29.0497187
D11,26.85382467
D12,27.61383682
D13,28.50572556
D14,28.24859042
D15,28.71398491
D16,26.97615012
D17,27.46115985
D18,27.85153542
D19,27.70026688
D20,NaN
D21,27.15831043
D22,27.32081965
D23,27.60873456
D24,28.37954686
E01,26.65708936
E02,27.61386959
E03,26.38418594
E04,27.18199358
E05,26.62681831
E06,26.26519921
E07,26.25733987
E08,26.15895137
E09,25.30559226
E10,24.88959113
E11,26.64229483
E12,26.0844166
E13,26.19042269
E14,25.67299782
E15,25.43972935
E16,26.86381047
E17,27.14011264
E18,26.94397175
E19,26.74254696
E20,NaN
E21,27.02326526
E22,27.42547132
E23,26.50993446
E24,26.99209291
F01,27.033859
F02,30.0820799
F03,26.86492515
F04,27.11349174
F05,27.28545774
F06,26.45159537
F07,26.76580356
F08,27.58000157
F09,27.57482941
F10,28.26463513
F11,26.85970995
F12,26.64440529
F13,27.14696271
F14,27.46973933
F15,28.04008452
F16,27.2542917
F17,26.91370291
F18,28.14411161
F19,27.64648868
F20,NaN
F21,27.60995192
F22,27.2868557
F23,27.5243983
F24,28.2327958
G01,21.46884011
G02,23.20943338
G03,21.77103253
G04,22.77690703
G05,21.85897624
G06,21.49886183
G07,21.46975146
G08,21.37968357
G09,20.92467322
G10,21.15039512
G11,21.62560074
G12,20.91441267
