Well,Cq
G13,21.56613521
G14,21.03117356
G15,21.08614419
G16,21.47218476
G17,21.78210202
G18,21.85015464
G19,21.56565048
G20,NaN
G21,22.08975451
G22,21.66763281
G23,21.40911261
G24,22.15209513
H01,23.42042638
H02,23.28290657
H03,22.6247875
H04,23.51991255
H05,23.05861247
H06,23.29982535
H07,23.11169942
H08,23.34674373
H09,23.03764208
H10,22.65030776
H11,23.3602048
H12,22.61313715
H13,23.07369642
H14,23.01487382
H15,23.11078103
H16,23.29379794
H17,24.06978026
H18,24.08282112
H19,24.16524634
H20,NaN
H21,24.2043724
H22,25.16154702
H23,26.46373398
H24,31.02178225
I01,38.41092859
I02,NaN
I03,38.49173329
I04,NaN
I05,37.36493927
I06,38.03184518
I07,36.27438681
I08,35.73291325
I09,34.1145484
I10,33.88474299
I11,36.30706492
I12,NaN
I13,36.26260544
I14,35.52444526
I15,36.71110666
I16,36.69186378
I17,35.62408995
I18,35.54316389
I19,35.75716073
I20,34.97730227
I21,34.91739236
I22,NaN
I23,NaN
I24,NaN
J01,34.06982673
J02,34.9024501
J03,35.17391616
J04,35.37340326
J05,NaN
J06,34.56188379
J07,34.47251649
J08,34.11988213
J09,34.89058236
J10,34.59880709
J11,34.51584306
J12,34.46211597
J13,34.56579153
J14,34.29848176
J15,33.60898048
J16,34.60656357
J17,34.12971982
J18,33.86562018
J19,NaN
J20,35.08669022
J21,34.23056585
J22,NaN
J23,NaN
J24,NaN
K01,36.96384283
K02,NaN
K03,NaN
K04,39.27747868
K05,35.58138534
K06,NaN
K07,NaN
K08,38.24193584
K09,35.38857468
K10,33.57054403
K11,NaN
K12,NaN
K13,NaN
K14,38.42211444
K15,35.95580563
K16,38.23205188
K17,37.36077601
K18,36.00310737
K19,34.31123228
K20,33.51071676
K21,37.44719369
K22,NaN
K23,NaN
K24,NaN
L01,27.39882392
L02,28.94787834
L03,28.09461764
L04,29.07081696
L05,30.53278713
L06,26.71404871
L07,27.13762265
L08,27.1374056
L09,28.77586132
L10,28.63310292
L11,27.04770821
L12,27.58094254
L13,27.31561247
L14,27.63581699
L15,28.04314025
L16,27.22106744
L17,26.64678076
L18,28.00786241
L19,28.41234737
L20,29.09631494
L21,28.01462376
L22,NaN
L23,NaN
L24,NaN
M01,28.39632202
M02,29.82807408
M03,28.77650535
M04,29.08417913
M05,27.57770682
M06,27.26318772
M07,26.65261911
M08,26.93704416
M09,25.9218632
M10,25.39605815
M11,26.93172741
M12,27.03429753
M13,26.92183546
M14,27.00257826
M15,26.37287882
M16,27.28852358
M17,26.34528047
M18,26.25115278
M19,25.63148856
M20,25.08439717
M21,26.09375938
M22,NaN
M23,NaN
M24,NaN
N01,28.40003331
N02,30.35079524
N03,30.06770882
N04,30.51279488
N05,31.19717541
N06,27.60179406
N07,27.23851458
N08,27.74255768
N09,28.57759364
N10,28.5198106
N11,28.06868
N12,27.73380434
N13,27.70541549
N14,28.17918201
N15,28.12500162
N16,29.83209979
N17,28.04600655
N18,28.19260248
N19,28.54576367
N20,28.82594452
N21,28.30258617
N22,NaN
N23,NaN
N24,NaN
O01,22.21573208
O02,24.19132104
O03,23.67372598
O04,24.01675578
O05,23.73967217
O06,21.96304189
O07,21.80377623
O08,21.38177308
O09,21.65092876
O10,21.64951821
O11,21.9651295
O12,22.01552267
O13,21.48416453
O14,22.09431425
O15,21.71941222
O16,22.4307699
O17,22.06105648
O18,21.92894085
O19,21.55461355
O20,21.49466782
O21,21.43265175
O22,NaN
O23,NaN
O24,NaN
P01,25.28579908
P02,27.77337199
P03,25.58561252
P04,28.91734391
P05,25.26764466
P06,24.5107235
P07,26.3797101
P08,26.98390433
P09,24.12984886
P10,25.10395429
P11,26.37890109
P12,NaN
P13,24.10756839
P14,24.32179345
P15,28.58781858
P16,25.01120354
P17,24.18188832
P18,24.11966677
P19,23.90770694
P20,24.27667461
P21,23.38010911
P22,NaN
P23,NaN
P24,NaN
