Well,Cq
L19,30.24695535
L20,31.41670611
L21,29.05613714
L22,NaN
L23,NaN
L24,NaN
M01,30.12861976
M02,30.10970887
M03,28.55147076
M04,29.57860361
M05,28.2667403
M06,28.6147302
M07,27.97563312
M08,27.57216404
M09,29.13587823
M10,28.18457364
M11,28.77590537
M12,29.18268582
M13,28.6001063
M14,28.79463986
M15,27.68008795
M16,28.76370861
M17,27.96110008
M18,27.92031044
M19,27.24170545
M20,26.19820537
M21,27.03598663
M22,NaN
M23,NaN
M24,NaN
N01,29.50796927
N02,30.02515238
N03,28.02761529
N04,30.06495684
N05,30.12614647
N06,28.23615645
N07,28.14629468
N08,27.63023064
N09,28.83070046
N10,29.62403542
N11,28.6069855
N12,29.06873946
N13,28.34343952
N14,28.2508802
N15,28.60616228
N16,28.46210527
N17,27.74141315
N18,29.03720504
N19,29.50111688
N20,30.29554483
N21,27.70006035
N22,NaN
N23,NaN
N24,NaN
O01,22.58656793
O02,22.73553596
O03,21.15077446
O04,23.07508669
O05,21.67710819
O06,21.17529942
O07,21.3657986
O08,20.7724697
O09,21.28057929
O10,20.68539686
O11,21.52239702
O12,22.03499782
O13,20.30546894
O14,21.56664425
O15,21.34497439
O16,22.0700201
O17,21.57932874
O18,21.44455593
O19,21.5864488
O20,21.10002967
O21,20.2500365
O22,NaN
O23,NaN
O24,NaN
P01,24.6514279
P02,26.11277577
P03,22.52700813
P04,24.1364329
P05,23.30326196
P06,22.3298177
P07,22.91924047
P08,22.19335773
P09,22.77994331
P10,21.82714882
P11,23.44853219
P12,23.09717428
P13,21.30211454
P14,23.23031122
P15,22.77028087
P16,23.17502843
P17,23.0097538
P18,22.59616173
P19,23.18664865
P20,22.34502784
P21,21.65858163
P22,NaN
P23,NaN
P24,NaN
