Well,Cq
A01,33.50215385
A02,36.68758628
A03,35.15005307
A04,38.59157719
A05,35.02656766
A06,35.27221835
A07,35.68313993
A08,36.31364969
A09,35.5088051
A10,34.61149322
A11,36.43443171
A12,37.55854123
A13,35.71817092
A14,35.62677702
A15,35.9499137
A16,35.58374369
A17,37.62670207
A18,36.87715744
A19,34.83471617
A20,36.80704464
A21,37.01628575
A22,36.89839421
A23,36.03904041
A24,39.33867266
B01,NaN
B02,36.93821141
B03,36.21361789
B04,36.55092939
B05,35.00634378
B06,39.15681685
B07,34.76733662
B08,34.24667133
B09,35.12451375
B10,36.24895858
B11,35.02621206
B12,33.82096737
B13,36.20970193
B14,34.28950619
B15,35.62977989
B16,35.61717811
B17,NaN
B18,35.4797572
B19,35.83876375
B20,35.16863727
B21,35.73929587
B22,36.29816842
B23,NaN
B24,36.32165113
C01,35.48569556
C02,NaN
C03,NaN
C04,NaN
C05,NaN
C06,NaN
C07,NaN
C08,36.79929767
C09,36.1589112
C10,35.63841371
C11,NaN
C12,NaN
C13,NaN
C14,38.60019495
C15,35.38625622
C16,NaN
C17,NaN
C18,NaN
C19,37.2648201
C20,36.68416638
C21,NaN
C22,NaN
C23,NaN
C24,37.79202637
D01,31.16301354
D02,29.86791374
D03,29.77924201
D04,30.55247959
D05,30.28227628
D06,28.99340331
D07,30.28158682
D08,29.27826047
D09,30.62678972
D10,31.13004208
D11,28.41534426
D12,29.11557943
D13,29.44159899
D14,29.72467715
D15,31.35718467
D16,29.34911344
D17,31.7998673
D18,29.05571888
D19,30.30104982
D20,30.92459458
D21,28.07137323
D22,30.03606153
D23,28.89463256
D24,30.98209647
E01,26.76391625
E02,29.2610331
E03,28.011306
E04,30.15332295
E05,29.9291331
E06,27.95997209
E07,28.44079802
E08,28.24814701
E09,27.67503507
E10,26.60131849
E11,27.72202666
E12,27.84215608
E13,27.63706995
E14,28.17919853
E15,27.19771301
E16,28.62193791
E17,31.10750288
E18,28.80281633
E19,28.4186488
E20,28.24178137
E21,27.75965348
E22,29.44289597
E23,29.02752336
E24,29.29754198
F01,28.62126305
F02,28.09760385
F03,27.81734582
F04,28.95849821
F05,28.41292627
F06,27.71303387
F07,27.57519998
F08,27.8579661
F09,28.70350886
F10,30.06353729
F11,27.40648203
F12,27.30312116
F13,28.30687151
F14,29.5349789
F15,29.7377367
F16,28.76495427
F17,31.01130456
F18,28.70524543
F19,28.52768797
F20,29.40839128
F21,28.42534665
F22,29.7299742
F23,28.33053629
F24,29.38644367
G01,20.68534164
G02,21.10462423
G03,20.74395006
G04,22.67664504
G05,21.41555764
G06,21.58329874
G07,21.45223076
G08,21.93684976
G09,21.75666917
G10,21.76696913
G11,21.24601809
G12,20.88782701
G13,21.42310008
G14,21.07768551
G15,21.62954593
G16,22.62913226
G17,23.93688157
G18,21.59164209
G19,21.53998283
G20,21.6364971
G21,22.67970125
G22,21.76407349
G23,21.38961552
G24,22.5773868
H01,22.07637627
H02,22.45528875
H03,22.00276639
H04,23.62028643
H05,22.75122427
H06,22.98404216
H07,22.93580801
H08,23.30929879
H09,22.91929674
H10,22.44194377
H11,23.4679143
H12,22.77888027
H13,22.63465052
H14,22.52009622
H15,22.64661463
H16,23.54471212
H17,25.18871059
H18,22.74921348
H19,22.58076613
H20,22.91006561
H21,23.40843172
H22,23.06716698
H23,23.31490075
H24,24.29949683
I01,39.24211709
I02,NaN
I03,39.36426673
I04,35.78036642
I05,32.24889892
I06,35.47437511
I07,37.12562507
I08,36.32641188
I09,36.19146018
I10,33.44869705
I11,38.93156474
I12,36.34791311
I13,35.2474702
I14,36.49457382
I15,35.63869652
I16,36.13135186
I17,34.84429113
I18,37.98065122
I19,36.64218717
I20,33.54118481
I21,34.51329637
I22,NaN
I23,NaN
I24,NaN
J01,35.98782195
J02,34.75924616
J03,34.1197021
J04,36.51676392
J05,35.43307398
J06,36.07156888
J07,37.09163366
J08,35.04309101
J09,37.84152417
J10,36.10975642
J11,37.33004144
J12,34.96683874
J13,34.84317466
J14,37.42220543
J15,36.59452681
J16,36.01154718
J17,35.51115276
J18,34.51715182
J19,36.29450136
J20,36.03901575
J21,36.14278925
J22,NaN
J23,NaN
J24,NaN
K01,NaN
K02,NaN
K03,37.60840858
K04,NaN
K05,35.50112519
K06,NaN
K07,NaN
K08,NaN
K09,38.9665492
K10,36.47213606
K11,NaN
K12,NaN
K13,NaN
K14,NaN
K15,36.89102987
K16,37.17557521
K17,NaN
K18,36.51659797
K19,35.45445084
K20,35.40103368
K21,36.12863597
K22,NaN
K23,NaN
K24,NaN
L01,29.37964616
L02,29.82952542
L03,28.34105483
L04,29.79287543
L05,30.60167358
L06,29.7631238
L07,28.88993404
L08,29.59567111
L09,30.42824015
L10,31.01481755
L11,29.96705012
L12,29.39924758
L13,28.32024162
L14,29.44329558
L15,28.68843169
L16,29.50711708
L17,28.64347076
L18,29.68089796
